,session_id,timestamp,user_id,product_id,event_type,offered_discount,hour,weekday,city,gender,category_path,price,price_log,cat_1,event_count,end_with_purchase
0,100001,2021-04-15 07:53:40,102,1283,0,5,7,Thursday,Police,F,0,99.99,1.9999565683801925,Sprzęt RTV,1,1
1,100001,2021-04-15 07:53:59,102,1283,1,5,7,Thursday,Police,F,0,99.99,1.9999565683801925,Sprzęt RTV,2,1
2,100002,2021-03-11 10:00:27,102,1076,0,0,10,Thursday,Police,F,1,2399.0,3.380030247967831,Komputery,1,1
3,100002,2021-03-11 10:02:11,102,1080,0,0,10,Thursday,Police,F,1,5301.9,3.724431532175318,Komputery,2,1
4,100002,2021-03-11 10:02:36,102,1079,0,0,10,Thursday,Police,F,1,4598.0,3.6625689669332604,Komputery,3,1
5,100002,2021-03-11 10:07:24,102,1003,0,0,10,Thursday,Police,F,1,7639.0,3.88303651002768,Komputery,4,1
6,100002,2021-03-11 10:11:41,102,1002,0,0,10,Thursday,Police,F,1,2048.5,3.311435968289161,Komputery,5,1
7,100002,2021-03-11 10:16:34,102,1075,0,0,10,Thursday,Police,F,1,1998.14,3.3006259138686387,Komputery,6,1
8,100002,2021-03-11 10:17:48,102,1078,0,0,10,Thursday,Police,F,1,5126.0,3.709778601848225,Komputery,7,1
9,100002,2021-03-11 10:21:15,102,1077,0,0,10,Thursday,Police,F,1,3777.0,3.577146984827525,Komputery,8,1
10,100002,2021-03-11 10:25:17,102,1077,1,0,10,Thursday,Police,F,1,3777.0,3.577146984827525,Komputery,9,1
11,100003,2021-03-06 12:59:03,102,1291,0,0,12,Saturday,Police,F,2,168.79,2.227346713181426,Sprzęt RTV,1,0
12,100003,2021-03-06 13:03:34,102,1284,0,0,13,Saturday,Police,F,2,49.9,1.69810054562339,Sprzęt RTV,2,0
13,100003,2021-03-06 13:07:20,102,1290,0,0,13,Saturday,Police,F,2,169.0,2.2278867046136734,Sprzęt RTV,3,0
14,100003,2021-03-06 13:07:30,102,1287,0,0,13,Saturday,Police,F,2,129.0,2.110589710299249,Sprzęt RTV,4,0
15,100003,2021-03-06 13:11:36,102,1292,0,0,13,Saturday,Police,F,2,189.0,2.2764618041732443,Sprzęt RTV,5,0
16,100003,2021-03-06 13:13:17,102,1288,0,0,13,Saturday,Police,F,2,119.0,2.075546961392531,Sprzęt RTV,6,0
17,100003,2021-03-06 13:18:04,102,1286,0,0,13,Saturday,Police,F,2,59.99,1.778078861937455,Sprzęt RTV,7,0
18,100003,2021-03-06 13:21:47,102,1293,0,0,13,Saturday,Police,F,2,44.99,1.6531159931655668,Sprzęt RTV,8,0
19,100003,2021-03-06 13:26:43,102,1289,0,0,13,Saturday,Police,F,2,129.0,2.110589710299249,Sprzęt RTV,9,0
20,100003,2021-03-06 13:27:09,102,1285,0,0,13,Saturday,Police,F,2,82.99,1.9190257645873603,Sprzęt RTV,10,0
21,100004,2021-03-26 19:16:03,102,1318,0,10,19,Friday,Police,F,3,553.0,2.7427251313046983,Sprzęt RTV,1,1
22,100004,2021-03-26 19:16:18,102,1318,1,10,19,Friday,Police,F,3,553.0,2.7427251313046983,Sprzęt RTV,2,1
23,100005,2021-02-09 23:07:30,102,1001,0,15,23,Tuesday,Police,F,4,58.97,1.7706311277778066,Telefony i akcesoria,1,1
24,100005,2021-02-09 23:10:38,102,1001,1,15,23,Tuesday,Police,F,4,58.97,1.7706311277778066,Telefony i akcesoria,2,1
25,100006,2021-02-17 22:52:39,102,1201,0,5,22,Wednesday,Police,F,5,327.47,2.51517151980495,Telefony i akcesoria,1,1
26,100006,2021-02-17 22:55:30,102,1072,0,5,22,Wednesday,Police,F,5,299.0,2.4756711883244296,Telefony i akcesoria,2,1
27,100006,2021-02-17 22:58:19,102,1072,1,5,22,Wednesday,Police,F,5,299.0,2.4756711883244296,Telefony i akcesoria,3,1
28,100007,2021-01-15 15:37:59,102,1283,0,0,15,Friday,Police,F,0,99.99,1.9999565683801925,Sprzęt RTV,1,1
29,100007,2021-01-15 15:40:16,102,1283,1,0,15,Friday,Police,F,0,99.99,1.9999565683801925,Sprzęt RTV,2,1
30,100008,2021-03-21 00:02:32,102,1072,0,0,0,Sunday,Police,F,5,299.0,2.4756711883244296,Telefony i akcesoria,1,1
31,100008,2021-03-21 00:03:20,102,1074,0,0,0,Sunday,Police,F,5,86.28,1.9359101364305074,Telefony i akcesoria,2,1
32,100008,2021-03-21 00:08:19,102,1074,1,0,0,Sunday,Police,F,5,86.28,1.9359101364305074,Telefony i akcesoria,3,1
33,100009,2021-03-10 23:33:43,102,1005,0,15,23,Wednesday,Police,F,6,49.99,1.6988831367525903,Gry i konsole,1,0
34,100009,2021-03-10 23:37:11,102,1009,0,15,23,Wednesday,Police,F,6,69.0,1.8388490907372552,Gry i konsole,2,0
35,100009,2021-03-10 23:40:50,102,1011,0,15,23,Wednesday,Police,F,6,139.99,2.1460970135358695,Gry i konsole,3,0
36,100009,2021-03-10 23:43:06,102,1007,0,15,23,Wednesday,Police,F,6,89.99,1.9541942518158624,Gry i konsole,4,0
37,100009,2021-03-10 23:47:43,102,1004,0,15,23,Wednesday,Police,F,6,49.99,1.6988831367525903,Gry i konsole,5,0
38,100009,2021-03-10 23:49:45,102,1013,0,15,23,Wednesday,Police,F,6,129.99,2.113909943754037,Gry i konsole,6,0
39,100009,2021-03-10 23:50:44,102,1012,0,15,23,Wednesday,Police,F,6,69.0,1.8388490907372552,Gry i konsole,7,0
40,100010,2021-01-10 21:20:04,102,1289,0,20,21,Sunday,Police,F,2,129.0,2.110589710299249,Sprzęt RTV,1,1
41,100010,2021-01-10 21:21:57,102,1287,0,20,21,Sunday,Police,F,2,129.0,2.110589710299249,Sprzęt RTV,2,1
42,100010,2021-01-10 21:24:34,102,1290,0,20,21,Sunday,Police,F,2,169.0,2.2278867046136734,Sprzęt RTV,3,1
43,100010,2021-01-10 21:27:55,102,1288,0,20,21,Sunday,Police,F,2,119.0,2.075546961392531,Sprzęt RTV,4,1
44,100010,2021-01-10 21:32:53,102,1292,0,20,21,Sunday,Police,F,2,189.0,2.2764618041732443,Sprzęt RTV,5,1
45,100010,2021-01-10 21:33:42,102,1286,0,20,21,Sunday,Police,F,2,59.99,1.778078861937455,Sprzęt RTV,6,1
46,100010,2021-01-10 21:35:39,102,1286,1,20,21,Sunday,Police,F,2,59.99,1.778078861937455,Sprzęt RTV,7,1
47,100011,2021-02-25 11:19:53,102,1057,0,0,11,Thursday,Police,F,7,19.99,1.300812794118117,Gry i konsole,1,0
48,100011,2021-02-25 11:20:55,102,1048,0,0,11,Thursday,Police,F,7,63.49,1.802705327074352,Gry i konsole,2,0
49,100011,2021-02-25 11:21:17,102,1055,0,0,11,Thursday,Police,F,7,32.99,1.518382315545344,Gry i konsole,3,0
50,100011,2021-02-25 11:22:16,102,1052,0,0,11,Thursday,Police,F,7,78.9,1.8970770032094204,Gry i konsole,4,0
51,100011,2021-02-25 11:22:48,102,1054,0,0,11,Thursday,Police,F,7,32.99,1.518382315545344,Gry i konsole,5,0
52,100011,2021-02-25 11:24:03,102,1053,0,0,11,Thursday,Police,F,7,42.9,1.6324572921847242,Gry i konsole,6,0
53,100011,2021-02-25 11:28:40,102,1051,0,0,11,Thursday,Police,F,7,76.9,1.885926339801431,Gry i konsole,7,0
54,100012,2021-03-26 02:01:16,102,1283,0,0,2,Friday,Police,F,0,99.99,1.9999565683801925,Sprzęt RTV,1,1
55,100012,2021-03-26 02:05:22,102,1283,1,0,2,Friday,Police,F,0,99.99,1.9999565683801925,Sprzęt RTV,2,1
56,100013,2021-01-02 11:44:46,102,1004,0,0,11,Saturday,Police,F,6,49.99,1.6988831367525903,Gry i konsole,1,1
57,100013,2021-01-02 11:46:41,102,1007,0,0,11,Saturday,Police,F,6,89.99,1.9541942518158624,Gry i konsole,2,1
58,100013,2021-01-02 11:48:11,102,1011,0,0,11,Saturday,Police,F,6,139.99,2.1460970135358695,Gry i konsole,3,1
59,100013,2021-01-02 11:53:08,102,1011,1,0,11,Saturday,Police,F,6,139.99,2.1460970135358695,Gry i konsole,4,1
60,100014,2021-01-13 07:13:02,102,1001,0,0,7,Wednesday,Police,F,4,58.97,1.7706311277778066,Telefony i akcesoria,1,1
61,100014,2021-01-13 07:17:34,102,1001,1,0,7,Wednesday,Police,F,4,58.97,1.7706311277778066,Telefony i akcesoria,2,1
62,100015,2021-03-20 03:24:55,102,1234,0,0,3,Saturday,Police,F,8,193.0,2.285557309007774,Sprzęt RTV,1,1
63,100015,2021-03-20 03:28:04,102,1234,1,0,3,Saturday,Police,F,8,193.0,2.285557309007774,Sprzęt RTV,2,1
