sep=;
session_id;timestamp;user_id;product_id;event_type;offered_discount;purchase_id
100001;2021-04-15T07:53:40;102;1283;VIEW_PRODUCT;5;
100001;2021-04-15T07:53:59;102;1283;BUY_PRODUCT;5;20001
100002;2021-03-11T10:00:27;102;1076;VIEW_PRODUCT;0;
100002;2021-03-11T10:02:11;102;1080;VIEW_PRODUCT;0;
100002;2021-03-11T10:02:36;102;1079;VIEW_PRODUCT;0;
100002;2021-03-11T10:07:24;102;1003;VIEW_PRODUCT;0;
100002;2021-03-11T10:11:41;102;1002;VIEW_PRODUCT;0;
100002;2021-03-11T10:16:34;102;1075;VIEW_PRODUCT;0;
100002;2021-03-11T10:17:48;102;1078;VIEW_PRODUCT;0;
100002;2021-03-11T10:21:15;102;1077;VIEW_PRODUCT;0;
100002;2021-03-11T10:25:17;102;1077;BUY_PRODUCT;0;20002
100003;2021-03-06T12:59:03;102;1291;VIEW_PRODUCT;0;
100003;2021-03-06T13:03:34;102;1284;VIEW_PRODUCT;0;
100003;2021-03-06T13:07:20;102;1290;VIEW_PRODUCT;0;
100003;2021-03-06T13:07:30;102;1287;VIEW_PRODUCT;0;
100003;2021-03-06T13:11:36;102;1292;VIEW_PRODUCT;0;
100003;2021-03-06T13:13:17;102;1288;VIEW_PRODUCT;0;
100003;2021-03-06T13:18:04;102;1286;VIEW_PRODUCT;0;
100003;2021-03-06T13:21:47;102;1293;VIEW_PRODUCT;0;
100003;2021-03-06T13:26:43;102;1289;VIEW_PRODUCT;0;
100003;2021-03-06T13:27:09;102;1285;VIEW_PRODUCT;0;
100004;2021-03-26T19:16:03;102;1318;VIEW_PRODUCT;10;
100004;2021-03-26T19:16:18;102;1318;BUY_PRODUCT;10;20003
100005;2021-02-09T23:07:30;102;1001;VIEW_PRODUCT;15;
100005;2021-02-09T23:10:38;102;1001;BUY_PRODUCT;15;20004
100006;2021-02-17T22:52:39;102;1201;VIEW_PRODUCT;5;
100006;2021-02-17T22:55:30;102;1072;VIEW_PRODUCT;5;
100006;2021-02-17T22:58:19;102;1072;BUY_PRODUCT;5;20005
100007;2021-01-15T15:37:59;102;1283;VIEW_PRODUCT;0;
100007;2021-01-15T15:40:16;102;1283;BUY_PRODUCT;0;20006
100008;2021-03-21T00:02:32;102;1072;VIEW_PRODUCT;0;
100008;2021-03-21T00:03:20;102;1074;VIEW_PRODUCT;0;
100008;2021-03-21T00:08:19;102;1074;BUY_PRODUCT;0;20007
100009;2021-03-10T23:33:43;102;1005;VIEW_PRODUCT;15;
100009;2021-03-10T23:37:11;102;1009;VIEW_PRODUCT;15;
100009;2021-03-10T23:40:50;102;1011;VIEW_PRODUCT;15;
100009;2021-03-10T23:43:06;102;1007;VIEW_PRODUCT;15;
100009;2021-03-10T23:47:43;102;1004;VIEW_PRODUCT;15;
100009;2021-03-10T23:49:45;102;1013;VIEW_PRODUCT;15;
100009;2021-03-10T23:50:44;102;1012;VIEW_PRODUCT;15;
100010;2021-01-10T21:20:04;102;1289;VIEW_PRODUCT;20;
100010;2021-01-10T21:21:57;102;1287;VIEW_PRODUCT;20;
100010;2021-01-10T21:24:34;102;1290;VIEW_PRODUCT;20;
100010;2021-01-10T21:27:55;102;1288;VIEW_PRODUCT;20;
100010;2021-01-10T21:32:53;102;1292;VIEW_PRODUCT;20;
100010;2021-01-10T21:33:42;102;1286;VIEW_PRODUCT;20;
100010;2021-01-10T21:35:39;102;1286;BUY_PRODUCT;20;20008
100011;2021-02-25T11:19:53;102;1057;VIEW_PRODUCT;0;
100011;2021-02-25T11:20:55;102;1048;VIEW_PRODUCT;0;
100011;2021-02-25T11:21:17;102;1055;VIEW_PRODUCT;0;
100011;2021-02-25T11:22:16;102;1052;VIEW_PRODUCT;0;
100011;2021-02-25T11:22:48;102;1054;VIEW_PRODUCT;0;
100011;2021-02-25T11:24:03;102;1053;VIEW_PRODUCT;0;
100011;2021-02-25T11:28:40;102;1051;VIEW_PRODUCT;0;
100012;2021-03-26T02:01:16;102;1283;VIEW_PRODUCT;0;
100012;2021-03-26T02:05:22;102;1283;BUY_PRODUCT;0;20009
100013;2021-01-02T11:44:46;102;1004;VIEW_PRODUCT;0;
100013;2021-01-02T11:46:41;102;1007;VIEW_PRODUCT;0;
100013;2021-01-02T11:48:11;102;1011;VIEW_PRODUCT;0;
100013;2021-01-02T11:53:08;102;1011;BUY_PRODUCT;0;20010
100014;2021-01-13T07:13:02;102;1001;VIEW_PRODUCT;0;
100014;2021-01-13T07:17:34;102;1001;BUY_PRODUCT;0;20011
100015;2021-03-20T03:24:55;102;1234;VIEW_PRODUCT;0;
100015;2021-03-20T03:28:04;102;1234;BUY_PRODUCT;0;20012
100016;2021-01-25T22:20:40;102;1285;VIEW_PRODUCT;15;
100016;2021-01-25T22:22:41;102;1288;VIEW_PRODUCT;15;
100016;2021-01-25T22:23:03;102;1288;BUY_PRODUCT;15;20013
100017;2021-04-15T16:58:09;102;1283;VIEW_PRODUCT;0;
100017;2021-04-15T16:58:33;102;1283;BUY_PRODUCT;0;20014
100018;2021-01-03T15:25:32;102;1025;VIEW_PRODUCT;0;
100018;2021-01-03T15:27:06;102;1037;VIEW_PRODUCT;0;
100018;2021-01-03T15:31:44;102;1017;VIEW_PRODUCT;0;
100018;2021-01-03T15:32:30;102;1034;VIEW_PRODUCT;0;
100018;2021-01-03T15:36:53;102;1039;VIEW_PRODUCT;0;
100018;2021-01-03T15:39:31;102;1038;VIEW_PRODUCT;0;
100018;2021-01-03T15:40:15;102;1032;VIEW_PRODUCT;0;
100018;2021-01-03T15:45:00;102;1030;VIEW_PRODUCT;0;
100019;2021-03-14T20:22:33;102;1056;VIEW_PRODUCT;0;
100019;2021-03-14T20:22:40;102;1054;VIEW_PRODUCT;0;
100019;2021-03-14T20:25:07;102;1052;VIEW_PRODUCT;0;
100019;2021-03-14T20:27:20;102;1051;VIEW_PRODUCT;0;
100019;2021-03-14T20:31:04;102;1049;VIEW_PRODUCT;0;
100019;2021-03-14T20:32:38;102;1057;VIEW_PRODUCT;0;
100019;2021-03-14T20:36:29;102;1050;VIEW_PRODUCT;0;
100020;2021-02-08T18:57:32;102;1276;VIEW_PRODUCT;0;
100020;2021-02-08T18:59:03;102;1277;VIEW_PRODUCT;0;
100020;2021-02-08T19:00:06;102;1277;BUY_PRODUCT;0;20015
100021;2021-01-14T20:36:25;102;1001;VIEW_PRODUCT;20;
100021;2021-01-14T20:38:23;102;1001;BUY_PRODUCT;20;20016
100022;2021-03-30T17:25:47;102;1035;VIEW_PRODUCT;0;
100022;2021-03-30T17:26:34;102;1067;VIEW_PRODUCT;0;
100022;2021-03-30T17:30:20;102;1067;BUY_PRODUCT;0;20017
100023;2021-03-02T13:58:45;102;1288;VIEW_PRODUCT;10;
100023;2021-03-02T13:59:30;102;1291;VIEW_PRODUCT;10;
100023;2021-03-02T14:03:46;102;1284;VIEW_PRODUCT;10;
100023;2021-03-02T14:06:52;102;1289;VIEW_PRODUCT;10;
100023;2021-03-02T14:10:39;102;1287;VIEW_PRODUCT;10;
100023;2021-03-02T14:12:35;102;1286;VIEW_PRODUCT;10;
100023;2021-03-02T14:15:08;102;1293;VIEW_PRODUCT;10;
100023;2021-03-02T14:16:40;102;1285;VIEW_PRODUCT;10;
100023;2021-03-02T14:19:55;102;1292;VIEW_PRODUCT;10;
100023;2021-03-02T14:23:32;102;1290;VIEW_PRODUCT;10;
100023;2021-03-02T14:26:23;102;1290;BUY_PRODUCT;10;20018
100024;2021-01-30T02:28:37;102;1049;VIEW_PRODUCT;0;
100024;2021-01-30T02:33:30;102;1056;VIEW_PRODUCT;0;
100024;2021-01-30T02:35:46;102;1054;VIEW_PRODUCT;0;
100024;2021-01-30T02:38:04;102;1050;VIEW_PRODUCT;0;
